Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDS28,Regular,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,744.3644
FDW49,Low Fat,Canned,OUT046,1997,Tier 1,Supermarket Type1,716.4008
FDP33,Low Fat,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,5113.344
FDJ03,Regular,Dairy,OUT045,2002,Tier 2,Supermarket Type1,886.8456
FDQ51,Regular,Meat,OUT013,1987,Tier 3,Supermarket Type1,1039.9796
DRK23,Low Fat,Hard Drinks,OUT049,1999,Tier 1,Supermarket Type1,4554.072
FDU11,Low Fat,Breads,OUT045,2002,Tier 2,Supermarket Type1,1807.647
NCK06,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,2665.8632
FDY09,Low Fat,Snack Foods,OUT017,2007,Tier 2,Supermarket Type1,1751.054
NCY18,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,2626.581
FDA10,Low Fat,Snack Foods,OUT049,1999,Tier 1,Supermarket Type1,1470.0864
FDO34,Low Fat,Snack Foods,OUT017,2007,Tier 2,Supermarket Type1,4362.3216
FDE38,Low Fat,Canned,OUT027,1985,Tier 3,Supermarket Type3,4476.1734
FDF40,Regular,Dairy,OUT017,2007,Tier 2,Supermarket Type1,2241.0828
FDY02,Regular,Dairy,OUT017,2007,Tier 2,Supermarket Type1,4733.838
FDS03,Low Fat,Meat,OUT019,1985,Tier 1,Grocery Store,258.3304
FDB59,Low Fat,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,3174.5344
NCQ42,Low Fat,Household,OUT049,1999,Tier 1,Supermarket Type1,2924.8594
FDO15,Regular,Meat,OUT049,1999,Tier 1,Supermarket Type1,960.7494
DRN47,Low Fat,Hard Drinks,OUT010,1998,Tier 3,Grocery Store,539.298
FDA03,Regular,Dairy,OUT035,2004,Tier 2,Supermarket Type1,2041.3428
FDA01,Regular,Canned,OUT035,2004,Tier 2,Supermarket Type1,996.0368
FDB38,Regular,Canned,OUT046,1997,Tier 1,Supermarket Type1,1757.712
FDT59,Low Fat,Breads,OUT017,2007,Tier 2,Supermarket Type1,1842.9344
FDG08,Regular,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,3435.528
FDV56,Regular,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,1402.1748
FDY26,Regular,Dairy,OUT046,1997,Tier 1,Supermarket Type1,7833.8028
DRE13,Low Fat,Soft Drinks,OUT035,2004,Tier 2,Supermarket Type1,1221.0772
FDE51,Regular,Dairy,OUT046,1997,Tier 1,Supermarket Type1,669.129
FDL40,Low Fat,Frozen Foods,OUT045,2002,Tier 2,Supermarket Type1,1061.951
FDD50,Low Fat,Canned,OUT046,1997,Tier 1,Supermarket Type1,2874.9244
FDC04,Low Fat,Dairy,OUT027,1985,Tier 3,Supermarket Type3,4592.0226
FDN15,Low Fat,Meat,OUT010,1998,Tier 3,Grocery Store,419.454
FDC46,Low Fat,Snack Foods,OUT013,1987,Tier 3,Supermarket Type1,5163.9448
FDV56,Regular,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,323.5788
FDK43,Low Fat,Meat,OUT018,2009,Tier 3,Supermarket Type2,1265.02
NCR29,Low Fat,Health and Hygiene,OUT045,2002,Tier 2,Supermarket Type1,622.523
FDY03,Regular,Meat,OUT046,1997,Tier 1,Supermarket Type1,1125.202
FDU44,Regular,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,5198.5664
FDZ04,low fat,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,379.506
FDU16,Regular,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,2432.8332
FDV07,Low Fat,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,1657.842
NCL19,Low Fat,Others,OUT013,1987,Tier 3,Supermarket Type1,3006.087
FDW01,Low Fat,Canned,OUT027,1985,Tier 3,Supermarket Type3,2287.023
FDC10,Regular,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,1687.1372
DRC12,Low Fat,Soft Drinks,OUT017,2007,Tier 2,Supermarket Type1,3237.1196
DRK39,Low Fat,Dairy,OUT013,1987,Tier 3,Supermarket Type1,2746.425
FDG24,Low Fat,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,1331.6
FDO04,Low Fat,Frozen Foods,OUT027,1985,Tier 3,Supermarket Type3,607.8754
DRB25,Low Fat,Soft Drinks,OUT035,2004,Tier 2,Supermarket Type1,857.5504
FDK26,Regular,Canned,OUT035,2004,Tier 2,Supermarket Type1,4287.752
FDM52,Low Fat,Frozen Foods,OUT045,2002,Tier 2,Supermarket Type1,1773.6912
FDY07,Low Fat,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,597.2226
NCO06,Low Fat,Household,OUT018,2009,Tier 3,Supermarket Type2,441.4254
FDO10,Regular,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,1431.47
FDK34,Low Fat,Snack Foods,OUT013,1987,Tier 3,Supermarket Type1,2860.2768
FDS33,Regular,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,3364.9532
FDO45,Regular,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,1757.712
FDF08,Regular,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,966.7416
FDH58,Low Fat,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,1958.1178
FDS03,Low Fat,Meat,OUT010,1998,Tier 3,Grocery Store,129.1652
DRF03,Low Fat,Dairy,OUT035,2004,Tier 2,Supermarket Type1,365.5242
FDE02,low fat,Canned,OUT013,1987,Tier 3,Supermarket Type1,1783.6782
NCZ06,Low Fat,Household,OUT013,1987,Tier 3,Supermarket Type1,2790.3678
FDW49,Low Fat,Canned,OUT049,1999,Tier 1,Supermarket Type1,2328.3026
FDR23,Low Fat,Breads,OUT017,2007,Tier 2,Supermarket Type1,2822.992
NCJ29,Low Fat,Health and Hygiene,OUT027,1985,Tier 3,Supermarket Type3,2045.3376
FDY35,Regular,Breads,OUT045,2002,Tier 2,Supermarket Type1,505.3422
FDZ01,Regular,Canned,OUT027,1985,Tier 3,Supermarket Type3,3095.97
FDX19,Low Fat,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,5141.3076
FDG44,Low Fat,Fruits and Vegetables,OUT018,2009,Tier 3,Supermarket Type2,808.947
FDQ23,Low Fat,Breads,OUT035,2004,Tier 2,Supermarket Type1,2665.8632
FDY22,Regular,Snack Foods,OUT017,2007,Tier 2,Supermarket Type1,2588.6304
NCN41,Low Fat,Health and Hygiene,OUT013,1987,Tier 3,Supermarket Type1,1108.557
FDA47,Regular,Baking Goods,OUT045,2002,Tier 2,Supermarket Type1,1304.968
NCD19,Low Fat,Household,OUT045,2002,Tier 2,Supermarket Type1,331.5684
FDO36,Low Fat,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,3235.788
FDH20,Regular,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,3089.312
FDN12,Low Fat,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,3355.632
NCJ30,Low Fat,Household,OUT018,2009,Tier 3,Supermarket Type2,2037.348
FDB09,Low Fat,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,1867.569
FDA09,Regular,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,898.83
FDL24,Regular,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,7759.899
FDP03,Regular,Meat,OUT035,2004,Tier 2,Supermarket Type1,2848.2924
FDR58,Low Fat,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,2868.9322
FDO13,Low Fat,Breakfast,OUT013,1987,Tier 3,Supermarket Type1,3617.9572
DRD49,Low Fat,Soft Drinks,OUT035,2004,Tier 2,Supermarket Type1,5243.8408
NCF42,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,2109.2544
DRK35,Low Fat,Hard Drinks,OUT035,2004,Tier 2,Supermarket Type1,721.0614
FDR58,Low Fat,Snack Foods,OUT013,1987,Tier 3,Supermarket Type1,1203.1006
FDQ15,Regular,Meat,OUT027,1985,Tier 3,Supermarket Type3,1868.2348
NCP50,Low Fat,Others,OUT013,1987,Tier 3,Supermarket Type1,322.2472
FDV45,Low Fat,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,3942.8676
DRP35,Low Fat,Hard Drinks,OUT049,1999,Tier 1,Supermarket Type1,3195.84
FDN23,Regular,Breads,OUT035,2004,Tier 2,Supermarket Type1,3338.3212
FDS44,Regular,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,4086.0146
NCI54,Low Fat,Household,OUT018,2009,Tier 3,Supermarket Type2,1856.2504
FDH40,Regular,Frozen Foods,OUT027,1985,Tier 3,Supermarket Type3,1380.8692
FDF46,Low Fat,Snack Foods,OUT035,2004,Tier 2,Supermarket Type1,1267.0174
FDA21,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,5182.5872
FDI41,Regular,Frozen Foods,OUT019,1985,Tier 1,Grocery Store,147.1418
FDE35,Regular,Starchy Foods,OUT010,1998,Tier 3,Grocery Store,58.5904
DRJ24,Low Fat,Soft Drinks,OUT013,1987,Tier 3,Supermarket Type1,5367.6796
NCK17,Low Fat,Health and Hygiene,OUT027,1985,Tier 3,Supermarket Type3,1358.232
FDA15,Low Fat,Dairy,OUT045,2002,Tier 2,Supermarket Type1,5976.2208
FDD36,Low Fat,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,2251.7356
DRD60,Low Fat,Soft Drinks,OUT019,1985,Tier 1,Grocery Store,181.7634
FDA46,Low Fat,Snack Foods,OUT013,1987,Tier 3,Supermarket Type1,5443.5808
NCO54,Low Fat,Household,OUT045,2002,Tier 2,Supermarket Type1,1547.3192
FDL48,Regular,Baking Goods,OUT010,1998,Tier 3,Grocery Store,145.8102
NCM19,Low Fat,Others,OUT027,1985,Tier 3,Supermarket Type3,5063.409
FDS31,Regular,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,3067.3406
FDV12,Regular,Baking Goods,OUT035,2004,Tier 2,Supermarket Type1,2857.6136
FDQ31,Regular,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,1406.1696
FDK55,Low Fat,Meat,OUT019,1985,Tier 1,Grocery Store,178.4344
DRG15,Low Fat,Dairy,OUT049,1999,Tier 1,Supermarket Type1,1470.0864
NCR17,Low Fat,Health and Hygiene,OUT018,2009,Tier 3,Supermarket Type2,2896.23
FDV01,Regular,Canned,OUT027,1985,Tier 3,Supermarket Type3,6515.5188
FDT21,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,996.0368
FDT10,Regular,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,948.0992
FDL56,Low Fat,Fruits and Vegetables,OUT019,1985,Tier 1,Grocery Store,87.2198
FDS49,Low Fat,Canned,OUT017,2007,Tier 2,Supermarket Type1,1178.466
FDT32,Regular,Fruits and Vegetables,OUT019,1985,Tier 1,Grocery Store,565.2642
NCX42,Low Fat,Household,OUT013,1987,Tier 3,Supermarket Type1,2137.8838
FDX26,Low Fat,Dairy,OUT010,1998,Tier 3,Grocery Store,547.2876
FDN02,Low Fat,Canned,OUT013,1987,Tier 3,Supermarket Type1,2691.8294
FDJ40,Regular,Frozen Foods,OUT027,1985,Tier 3,Supermarket Type3,3057.3536
FDU13,low fat,Canned,OUT019,1985,Tier 1,Grocery Store,588.5672
DRE27,Low Fat,Dairy,OUT046,1997,Tier 1,Supermarket Type1,978.726
FDS27,Regular,Meat,OUT035,2004,Tier 2,Supermarket Type1,2356.932
FDU44,Regular,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,3086.6488
DRM59,Low Fat,Hard Drinks,OUT019,1985,Tier 1,Grocery Store,461.3994
FDT08,Low Fat,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,2696.49
FDL46,low fat,Snack Foods,OUT017,2007,Tier 2,Supermarket Type1,1649.8524
NCV30,Low Fat,Household,OUT010,1998,Tier 3,Grocery Store,126.502
FDP51,Regular,Meat,OUT046,1997,Tier 1,Supermarket Type1,2014.7108
FDA51,Regular,Dairy,OUT013,1987,Tier 3,Supermarket Type1,1707.777
FDM46,Low Fat,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,932.12
FDK02,Low Fat,Canned,OUT017,2007,Tier 2,Supermarket Type1,2157.192
FDJ57,Regular,Seafood,OUT035,2004,Tier 2,Supermarket Type1,4643.955
FDJ45,Low Fat,Seafood,OUT027,1985,Tier 3,Supermarket Type3,1280.9992
NCB31,Low Fat,Household,OUT017,2007,Tier 2,Supermarket Type1,2366.919
FDJ03,Regular,Dairy,OUT013,1987,Tier 3,Supermarket Type1,886.8456
FDT50,Regular,Dairy,OUT013,1987,Tier 3,Supermarket Type1,958.752
NCY41,Low Fat,Health and Hygiene,OUT049,1999,Tier 1,Supermarket Type1,1150.5024
FDJ60,Regular,Baking Goods,OUT045,2002,Tier 2,Supermarket Type1,2641.8944
FDZ35,Regular,Breads,OUT046,1997,Tier 1,Supermarket Type1,1547.985
FDS21,Regular,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,619.194
FDM52,Low Fat,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,2808.3444
FDQ08,Regular,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,2266.3832
FDQ56,Low Fat,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,1929.4884
FDS47,Low Fat,Breads,OUT049,1999,Tier 1,Supermarket Type1,1054.6272
DRM48,Low Fat,Soft Drinks,OUT045,2002,Tier 2,Supermarket Type1,1155.8288
FDW46,Regular,Snack Foods,OUT017,2007,Tier 2,Supermarket Type1,1174.4712
FDW27,Regular,Meat,OUT018,2009,Tier 3,Supermarket Type2,3412.8908
NCQ05,Low Fat,Health and Hygiene,OUT010,1998,Tier 3,Grocery Store,300.9416
FDU40,Low Fat,Frozen Foods,OUT010,1998,Tier 3,Grocery Store,387.4956
DRE12,Low Fat,Soft Drinks,OUT027,1985,Tier 3,Supermarket Type3,2942.836
FDX35,Regular,Breads,OUT013,1987,Tier 3,Supermarket Type1,4098.6648
FDD51,Low Fat,Dairy,OUT049,1999,Tier 1,Supermarket Type1,452.744
FDY27,Low Fat,Dairy,OUT018,2009,Tier 3,Supermarket Type2,3211.8192
NCN06,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,2620.5888
FDR57,Regular,Snack Foods,OUT035,2004,Tier 2,Supermarket Type1,1414.1592
FDL32,Regular,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,1565.9616
FDW46,Regular,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,1043.9744
NCO17,Low Fat,Health and Hygiene,OUT027,1985,Tier 3,Supermarket Type3,3115.944
FDR19,Regular,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,729.051
FDJ33,Regular,Snack Foods,OUT017,2007,Tier 2,Supermarket Type1,2956.152
FDB15,Low Fat,Dairy,OUT046,1997,Tier 1,Supermarket Type1,527.3136
FDA52,Regular,Frozen Foods,OUT045,2002,Tier 2,Supermarket Type1,1058.622
FDZ08,Regular,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,1320.9472
FDR27,Regular,Meat,OUT017,2007,Tier 2,Supermarket Type1,3047.3666
NCK42,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,1725.7536
FDZ12,Low Fat,Baking Goods,OUT019,1985,Tier 1,Grocery Store,143.147
FDM60,Regular,Baking Goods,OUT018,2009,Tier 3,Supermarket Type2,446.7518
NCI31,Low Fat,Others,OUT018,2009,Tier 3,Supermarket Type2,585.904
FDX39,Regular,Meat,OUT049,1999,Tier 1,Supermarket Type1,6331.758
NCV05,Low Fat,Health and Hygiene,OUT017,2007,Tier 2,Supermarket Type1,1853.5872
FDX16,Low Fat,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,2247.075
DRK12,Low Fat,Soft Drinks,OUT010,1998,Tier 3,Grocery Store,33.29
NCA05,Low Fat,Health and Hygiene,OUT017,2007,Tier 2,Supermarket Type1,445.4202
DRG51,Low Fat,Dairy,OUT010,1998,Tier 3,Grocery Store,657.8104
NCR30,Low Fat,Household,OUT018,2009,Tier 3,Supermarket Type2,223.7088
NCE31,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,727.0536
FDM56,Low Fat,Fruits and Vegetables,OUT019,1985,Tier 1,Grocery Store,218.3824
FDP24,Low Fat,Baking Goods,OUT013,1987,Tier 3,Supermarket Type1,2665.8632
DRM37,Low Fat,Soft Drinks,OUT010,1998,Tier 3,Grocery Store,591.2304
FDN56,Regular,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,2311.6576
DRE60,Low Fat,Soft Drinks,OUT049,1999,Tier 1,Supermarket Type1,7017.532
FDW49,Low Fat,Canned,OUT019,1985,Tier 1,Grocery Store,895.501
FDM20,Low Fat,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,4655.2736
FDK15,Low Fat,Meat,OUT019,1985,Tier 1,Grocery Store,198.4084
FDK48,Low Fat,Baking Goods,OUT049,1999,Tier 1,Supermarket Type1,451.4124
FDO49,Regular,Breakfast,OUT019,1985,Tier 1,Grocery Store,50.6008
FDC09,Regular,Fruits and Vegetables,OUT018,2009,Tier 3,Supermarket Type2,615.1992
NCZ41,Low Fat,Health and Hygiene,OUT013,1987,Tier 3,Supermarket Type1,876.1928
FDP19,Low Fat,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,2454.1388
FDQ24,Low Fat,Baking Goods,OUT019,1985,Tier 1,Grocery Store,251.6724
DRL11,Low Fat,Hard Drinks,OUT045,2002,Tier 2,Supermarket Type1,4102.6596
FDO36,Low Fat,Baking Goods,OUT035,2004,Tier 2,Supermarket Type1,2696.49
FDN52,Regular,Frozen Foods,OUT027,1985,Tier 3,Supermarket Type3,1569.9564
FDF21,Regular,Fruits and Vegetables,OUT010,1998,Tier 3,Grocery Store,189.753
FDU40,Low Fat,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,3099.9648
FDS51,Low Fat,Meat,OUT049,1999,Tier 1,Supermarket Type1,743.0328
FDE45,Low Fat,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,1611.9018
FDX50,Low Fat,Dairy,OUT035,2004,Tier 2,Supermarket Type1,1215.7508
NCN14,Low Fat,Others,OUT019,1985,Tier 1,Grocery Store,367.5216
FDQ21,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,3150.5656
FDV57,Regular,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,7370.406
FDB44,Low Fat,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,2954.8204
FDG52,Low Fat,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,643.1628
FDL38,Regular,Canned,OUT019,1985,Tier 1,Grocery Store,89.2172
NCS54,Low Fat,Household,OUT049,1999,Tier 1,Supermarket Type1,4940.236
DRL37,Low Fat,Soft Drinks,OUT035,2004,Tier 2,Supermarket Type1,735.709
FDA43,Low Fat,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,1170.4764
FDZ39,Regular,Meat,OUT017,2007,Tier 2,Supermarket Type1,1135.189
FDG45,Low Fat,Fruits and Vegetables,OUT018,2009,Tier 3,Supermarket Type2,3823.0236
FDH10,Low Fat,Snack Foods,OUT013,1987,Tier 3,Supermarket Type1,1549.9824
FDO10,Regular,Snack Foods,OUT010,1998,Tier 3,Grocery Store,114.5176
FDS35,Low Fat,Breads,OUT027,1985,Tier 3,Supermarket Type3,1033.3216
FDI41,Regular,Frozen Foods,OUT027,1985,Tier 3,Supermarket Type3,4561.3958
FDN21,Low Fat,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,2416.854
NCO18,Low Fat,Household,OUT045,2002,Tier 2,Supermarket Type1,2133.2232
FDB34,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,1482.7366
FDD05,Low Fat,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,2892.2352
FDX59,Low Fat,Breads,OUT027,1985,Tier 3,Supermarket Type3,984.7182
FDZ23,Regular,Baking Goods,OUT010,1998,Tier 3,Grocery Store,745.696
FDX27,Regular,Dairy,OUT046,1997,Tier 1,Supermarket Type1,1323.6104
FDV07,Low Fat,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,1547.3192
FDR14,Low Fat,Dairy,OUT017,2007,Tier 2,Supermarket Type1,647.1576
FDO01,Regular,Breakfast,OUT045,2002,Tier 2,Supermarket Type1,1798.9916
FDO13,Low Fat,Breakfast,OUT017,2007,Tier 2,Supermarket Type1,1973.4312
FDU25,Low Fat,Canned,OUT035,2004,Tier 2,Supermarket Type1,1737.738
NCK54,Low Fat,Household,OUT027,1985,Tier 3,Supermarket Type3,1864.24
FDZ56,Low Fat,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,1516.0266
NCL55,Low Fat,Others,OUT017,2007,Tier 2,Supermarket Type1,5060.08
FDD59,Regular,Starchy Foods,OUT045,2002,Tier 2,Supermarket Type1,2157.192
FDJ55,Regular,Meat,OUT017,2007,Tier 2,Supermarket Type1,5400.9696
FDA45,Low Fat,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,5469.547
DRF23,Low Fat,Hard Drinks,OUT010,1998,Tier 3,Grocery Store,174.4396
FDT49,Low Fat,Canned,OUT017,2007,Tier 2,Supermarket Type1,1278.336
NCO17,Low Fat,Health and Hygiene,OUT035,2004,Tier 2,Supermarket Type1,1917.504
FDH22,Low Fat,Snack Foods,OUT035,2004,Tier 2,Supermarket Type1,1017.3424
FDT34,Low Fat,Snack Foods,OUT049,1999,Tier 1,Supermarket Type1,1998.7316
FDB39,Low Fat,Dairy,OUT045,2002,Tier 2,Supermarket Type1,615.1992
FDQ22,Low Fat,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,314.2576
NCN43,Low Fat,Others,OUT010,1998,Tier 3,Grocery Store,123.173
FDG57,Low Fat,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,1020.6714
FDR20,Regular,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,1222.4088
FDU22,Low Fat,Snack Foods,OUT019,1985,Tier 1,Grocery Store,474.0496
NCC43,Low Fat,Household,OUT017,2007,Tier 2,Supermarket Type1,1506.0396
FDP01,Regular,Breakfast,OUT010,1998,Tier 3,Grocery Store,762.341
FDF52,Low Fat,Frozen Foods,OUT018,2009,Tier 3,Supermarket Type2,1277.0044
FDZ33,Low Fat,Snack Foods,OUT035,2004,Tier 2,Supermarket Type1,3547.3824
FDP48,Regular,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,6042.135
FDW56,Low Fat,Fruits and Vegetables,OUT010,1998,Tier 3,Grocery Store,384.8324
FDC26,Low Fat,Canned,OUT018,2009,Tier 3,Supermarket Type2,1223.0746
FDF34,Regular,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,2182.4924
FDJ33,Regular,Snack Foods,OUT035,2004,Tier 2,Supermarket Type1,1478.076
FDD04,Low Fat,Dairy,OUT045,2002,Tier 2,Supermarket Type1,1418.154
NCJ31,Low Fat,Others,OUT013,1987,Tier 3,Supermarket Type1,5061.4116
FDO57,Low Fat,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,2888.2404
FDM36,Regular,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,5518.1504
NCY05,Low Fat,Health and Hygiene,OUT046,1997,Tier 1,Supermarket Type1,741.0354
FDS44,Regular,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,9133.4444
FDZ39,Regular,Meat,OUT035,2004,Tier 2,Supermarket Type1,1857.582
NCM31,Low Fat,Others,OUT017,2007,Tier 2,Supermarket Type1,2836.308
DRK11,Low Fat,Hard Drinks,OUT013,1987,Tier 3,Supermarket Type1,2982.784
FDO34,Low Fat,Snack Foods,OUT010,1998,Tier 3,Grocery Store,167.7816
NCL30,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,1150.5024
FDK28,Low Fat,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,9275.9256
DRJ39,Low Fat,Dairy,OUT035,2004,Tier 2,Supermarket Type1,5038.1086
NCP06,Low Fat,Household,OUT027,1985,Tier 3,Supermarket Type3,2115.9124
FDE33,Regular,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,1885.5456
FDZ44,Low Fat,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,703.0848
FDV46,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,2656.542
NCO06,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,713.0718
DRG03,Low Fat,Dairy,OUT013,1987,Tier 3,Supermarket Type1,1691.7978
FDU37,Regular,Canned,OUT013,1987,Tier 3,Supermarket Type1,2157.192
FDI57,Low Fat,Seafood,OUT013,1987,Tier 3,Supermarket Type1,2561.9984
FDM45,Regular,Snack Foods,OUT013,1987,Tier 3,Supermarket Type1,2059.9852
FDC26,Low Fat,Canned,OUT035,2004,Tier 2,Supermarket Type1,1334.2632
FDU14,Low Fat,Dairy,OUT027,1985,Tier 3,Supermarket Type3,10236.675
FDB26,Regular,Canned,OUT046,1997,Tier 1,Supermarket Type1,692.432
FDC29,Regular,Frozen Foods,OUT018,2009,Tier 3,Supermarket Type2,1488.7288
FDY58,Low Fat,Snack Foods,OUT017,2007,Tier 2,Supermarket Type1,6622.7126
FDR59,Regular,Breads,OUT035,2004,Tier 2,Supermarket Type1,3139.9128
FDS03,Low Fat,Meat,OUT027,1985,Tier 3,Supermarket Type3,1614.565
FDR43,Low Fat,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,585.904
FDZ25,Regular,Canned,OUT027,1985,Tier 3,Supermarket Type3,5602.707
NCN26,Low Fat,Household,OUT045,2002,Tier 2,Supermarket Type1,703.0848
FDO38,Low Fat,Canned,OUT018,2009,Tier 3,Supermarket Type2,1012.6818
FDP28,Regular,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,3131.9232
FDG31,Low Fat,Meat,OUT010,1998,Tier 3,Grocery Store,258.3304
FDI45,Low Fat,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,4027.4242
NCS54,Low Fat,Household,OUT010,1998,Tier 3,Grocery Store,352.874
FDE17,Regular,Frozen Foods,OUT045,2002,Tier 2,Supermarket Type1,2418.1856
NCG06,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,2061.3168
FDQ57,Low Fat,Snack Foods,OUT019,1985,Tier 1,Grocery Store,146.476
NCB31,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,4207.856
NCP29,Low Fat,Health and Hygiene,OUT018,2009,Tier 3,Supermarket Type2,830.9184
NCX29,Low Fat,Health and Hygiene,OUT019,1985,Tier 1,Grocery Store,145.8102
FDU37,Regular,Canned,OUT018,2009,Tier 3,Supermarket Type2,1198.44
FDM02,Regular,Canned,OUT010,1998,Tier 3,Grocery Store,87.2198
FDN16,Regular,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,1960.781
FDR46,Low Fat,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,2929.52
FDE50,Regular,Canned,OUT027,1985,Tier 3,Supermarket Type3,2253.0672
FDL52,Regular,Frozen Foods,OUT010,1998,Tier 3,Grocery Store,75.9012
FDQ49,Regular,Breakfast,OUT013,1987,Tier 3,Supermarket Type1,2190.482
